MATCH_ID,PARTICIPANT_POS_ID,MINUTE,TEAM,LANE,CHAMPION,GOLD_DIFF,XP_DIFF
EUN1_3900178471,4,5,Blue,Bottom,Lucian,52,-438
EUN1_3900178471,2,5,Blue,Jungle,Zed,-196,1
EUN1_3900178471,3,5,Blue,Middle,Katarina,-131,-350
EUN1_3900178471,5,5,Blue,Support,Leona,52,288
EUN1_3900178471,1,5,Blue,Top,Azir,-649,-173
EUN1_3900178471,9,5,Red,Bottom,Ezreal,-52,438
EUN1_3900178471,7,5,Red,Jungle,Gwen,196,-1
EUN1_3900178471,8,5,Red,Middle,Yone,131,350
EUN1_3900178471,10,5,Red,Support,Lulu,-52,-288
EUN1_3900178471,6,5,Red,Top,Renekton,649,173
EUN1_3900178471,4,10,Blue,Bottom,Lucian,98,12
EUN1_3900178471,2,10,Blue,Jungle,Zed,1255,814
EUN1_3900178471,3,10,Blue,Middle,Katarina,-2133,-1484
EUN1_3900178471,5,10,Blue,Support,Leona,-531,-99
EUN1_3900178471,1,10,Blue,Top,Azir,-819,-243
EUN1_3900178471,9,10,Red,Bottom,Ezreal,-98,-12
EUN1_3900178471,7,10,Red,Jungle,Gwen,-1255,-814
EUN1_3900178471,8,10,Red,Middle,Yone,2133,1484
EUN1_3900178471,10,10,Red,Support,Lulu,531,99
EUN1_3900178471,6,10,Red,Top,Renekton,819,243
EUN1_3900178471,4,15,Blue,Bottom,Lucian,-12,239
EUN1_3900178471,2,15,Blue,Jungle,Zed,1465,1056
EUN1_3900178471,3,15,Blue,Middle,Katarina,-1691,-1272
EUN1_3900178471,5,15,Blue,Support,Leona,-423,13
EUN1_3900178471,1,15,Blue,Top,Azir,-2189,-1897
EUN1_3900178471,9,15,Red,Bottom,Ezreal,12,-239
EUN1_3900178471,7,15,Red,Jungle,Gwen,-1465,-1056
EUN1_3900178471,8,15,Red,Middle,Yone,1691,1272
EUN1_3900178471,10,15,Red,Support,Lulu,423,-13
EUN1_3900178471,6,15,Red,Top,Renekton,2189,1897
