MATCH_ID,PARTICIPANT_POS_ID,MINUTE,TEAM,CHAMPION_ROLE,CHAMPION_NAME,GOLD_DIFF,XP_DIFF
EUW1_7708026129,7,20,RED,JUNGLE,XINZHAO,-2755,702
EUW1_7708026129,4,25,BLUE,BOTTOM,JHIN,-1881,360
EUW1_7708019056,1,5,BLUE,TOP,GRAGAS,-524,-499
EUW1_7708019056,8,5,RED,MIDDLE,MALZAHAR,-420,-251
EUW1_7708019056,5,10,BLUE,SUPPORT,NAMI,-295,269
EUW1_7708019056,2,15,BLUE,JUNGLE,VIEGO,1802,1880
EUW1_7708019056,9,15,RED,BOTTOM,DRAVEN,247,-979
EUW1_7708019056,6,20,RED,TOP,TRYNDAMERE,2693,2652
EUW1_7708019056,3,25,BLUE,MIDDLE,AHRI,4738,2732
EUW1_7708019056,10,25,RED,SUPPORT,PANTHEON,2468,343
EUW1_7708019056,7,30,RED,JUNGLE,KAYN,2875,1264
EUW1_7707937398,4,5,BLUE,BOTTOM,DRAVEN,8,132
EUW1_7707937398,1,10,BLUE,TOP,ANIVIA,-430,-31
EUW1_7707937398,8,10,RED,MIDDLE,XERATH,-135,413
EUW1_7707937398,5,15,BLUE,SUPPORT,ALISTAR,-49,-253
EUW1_7707937398,2,20,BLUE,JUNGLE,DIANA,-3019,-2908
EUW1_7707937398,9,20,RED,BOTTOM,CORKI,3503,2024
EUW1_7707937398,6,25,RED,TOP,DRMUNDO,1522,-2376
EUW1_7707937398,3,30,BLUE,MIDDLE,SMOLDER,804,31
EUW1_7707937398,10,30,RED,SUPPORT,NAMI,203,1285
EUW1_7707940960,3,5,BLUE,MIDDLE,DIANA,-240,-94
EUW1_7707940960,10,5,RED,SUPPORT,THRESH,-60,-493
EUW1_7707940960,7,10,RED,JUNGLE,EKKO,-524,-568
EUW1_7707940960,4,15,BLUE,BOTTOM,JINX,-340,-993
EUW1_7707940960,1,20,BLUE,TOP,SHEN,-2864,-1720
EUW1_7707940960,8,20,RED,MIDDLE,IRELIA,718,844
EUW1_7707940960,5,25,BLUE,SUPPORT,NEEKO,511,1253
EUW1_7707940960,2,30,BLUE,JUNGLE,KHAZIX,1590,-237
EUW1_7707940960,9,30,RED,BOTTOM,KALISTA,548,449
EUW1_7707896869,6,5,RED,TOP,NAAFIRI,-487,2
EUW1_7707896869,3,10,BLUE,MIDDLE,GALIO,-135,244
EUW1_7707896869,10,10,RED,SUPPORT,THRESH,151,458
EUW1_7707896869,7,15,RED,JUNGLE,MASTERYI,-1108,-1278
EUW1_7707896869,4,20,BLUE,BOTTOM,SMOLDER,293,-996
EUW1_7707896869,1,25,BLUE,TOP,KAYLE,2440,3156
EUW1_7707896869,8,25,RED,MIDDLE,CASSIOPEIA,2085,2388
EUW1_7707896869,5,30,BLUE,SUPPORT,BRAUM,-106,-2668
EUW1_7707896869,2,35,BLUE,JUNGLE,JAYCE,369,-2771
EUW1_7707896869,9,35,RED,BOTTOM,TWITCH,-73,4554
EUW1_7708066425,6,5,RED,TOP,VAYNE,585,306
EUW1_7708066425,3,10,BLUE,MIDDLE,HWEI,2,-659
EUW1_7708066425,10,10,RED,SUPPORT,NAUTILUS,98,-201
EUW1_7708066425,7,15,RED,JUNGLE,NUNU,-922,-537
EUW1_7708066425,4,20,BLUE,BOTTOM,KAISA,3612,1026
EUW1_7708066425,1,25,BLUE,TOP,ANIVIA,-3459,-1111
EUW1_7708066425,8,25,RED,MIDDLE,TALIYAH,-1930,-567
EUW1_7708054216,5,5,BLUE,SUPPORT,NEEKO,193,-52
EUW1_7708054216,2,10,BLUE,JUNGLE,QIYANA,1135,-119
EUW1_7708054216,9,10,RED,BOTTOM,XAYAH,202,-231
EUW1_7708054216,6,15,RED,TOP,FIORA,1185,733
EUW1_7708054216,3,20,BLUE,MIDDLE,YASUO,-2256,-2879
EUW1_7708054216,10,20,RED,SUPPORT,RAKAN,751,81
EUW1_7708054216,7,25,RED,JUNGLE,NUNU,-1636,1059
EUW1_7708047025,4,5,BLUE,BOTTOM,CORKI,-423,-416
EUW1_7708047025,1,10,BLUE,TOP,GNAR,875,693
EUW1_7708047025,8,10,RED,MIDDLE,VI,359,-691
EUW1_7708047025,5,15,BLUE,SUPPORT,BRAND,-132,950
EUW1_7708047025,2,20,BLUE,JUNGLE,DIANA,1922,868
EUW1_7708047025,9,20,RED,BOTTOM,SERAPHINE,-3342,17
EUW1_7708047025,6,25,RED,TOP,AMBESSA,-5828,-1636
EUW1_7708039704,3,5,BLUE,MIDDLE,ANIVIA,86,12
EUW1_7708039704,10,5,RED,SUPPORT,KARMA,311,320
EUW1_7708039704,7,10,RED,JUNGLE,JAYCE,1636,950
EUW1_7708039704,4,15,BLUE,BOTTOM,YUNARA,-3242,-841
EUW1_7708039151,6,5,RED,TOP,GAREN,-450,-609
EUW1_7708039151,3,10,BLUE,MIDDLE,TRISTANA,399,-20
EUW1_7708039151,10,10,RED,SUPPORT,LULU,159,-444
EUW1_7708039151,7,15,RED,JUNGLE,GWEN,641,869
EUW1_7708039151,4,20,BLUE,BOTTOM,SYNDRA,-997,-551
EUW1_7708039151,1,25,BLUE,TOP,RIVEN,-2365,-3599
EUW1_7708039151,8,25,RED,MIDDLE,NEEKO,-99,1021
EUW1_7708029374,5,5,BLUE,SUPPORT,ELISE,298,452
EUW1_7708029374,2,10,BLUE,JUNGLE,VOLIBEAR,763,207
EUW1_7708029374,9,10,RED,BOTTOM,LUCIAN,1423,765
EUW1_7708029374,6,15,RED,TOP,VARUS,2955,1757
EUW1_7708029374,3,20,BLUE,MIDDLE,SYNDRA,2089,-445
EUW1_7708029374,10,20,RED,SUPPORT,NAMI,95,-569
EUW1_7708029374,7,25,RED,JUNGLE,VIEGO,452,2744
EUW1_7708029374,4,30,BLUE,BOTTOM,YUNARA,-3991,-2621
EUW1_7707883429,4,5,BLUE,BOTTOM,VARUS,-42,-84
EUW1_7707883429,1,10,BLUE,TOP,AMBESSA,603,603
