MATCH_ID,GAME_DURATION,GAME_DATE,GAME_VERSION,WINNING_TEAM,AVERAGE_RANK,BLUE_KILLS,RED_KILLS,BLUE_TOWERS,RED_TOWERS,BLUE_INHIBITORS,RED_INHIBITORS,BLUE_DRAGONS,RED_DRAGONS,BLUE_VOID_GRUBS,RED_VOID_GRUBS,BLUE_HERALDS,RED_HERALDS,BLUE_BARONS,RED_BARONS,WINNING_GOLD_DIFF,UNLOGGED_DURATION
EUW1_7707876428,2050,2026-01-30 00:00:18.000,16.2.741.3171,BLUE,Diamond,38,36,5,9,0,1,3,2,0,3,1,0,0,2,3609,0
EUW1_7707876445,1542,2026-01-30 00:00:02.000,16.2.741.3171,RED,Master,14,31,7,1,1,0,0,4,0,3,1,0,0,0,9767,42
EUW1_7707880113,1960,2026-01-30 00:01:00.000,16.2.741.3171,RED,Diamond,25,27,7,3,1,0,3,2,0,3,0,1,0,1,4628,160
EUW1_7707880131,957,2026-01-30 00:01:07.000,16.2.741.3171,RED,Master,7,15,1,0,0,0,0,2,0,3,0,0,0,0,4579,57
EUW1_7707880191,2523,2026-01-30 00:00:55.000,16.2.741.3171,RED,Diamond,42,44,7,10,0,1,2,4,3,0,1,0,0,3,4785,123
EUW1_7707882232,2030,2026-01-30 00:02:42.000,16.2.741.3171,BLUE,Master,42,30,6,6,0,0,2,1,3,0,1,0,2,0,827,230
EUW1_7707882269,2184,2026-01-30 00:03:36.000,16.2.741.3171,RED,Master,46,42,6,5,0,0,3,3,3,0,0,1,1,1,-7454,84
EUW1_7707882439,1743,2026-01-30 00:05:08.000,16.2.741.3171,BLUE,Grandmaster,40,19,2,10,0,2,3,2,3,0,1,0,2,0,9120,0
EUW1_7707882881,1119,2026-01-30 00:02:21.000,16.2.741.3171,BLUE,Grandmaster,18,7,0,2,0,0,1,0,3,0,0,0,0,0,6501,219
EUW1_7707883017,1860,2026-01-30 00:03:57.000,16.2.741.3171,RED,Master,25,25,4,4,0,0,0,5,3,0,1,0,1,1,447,60
EUW1_7707883115,1446,2026-01-30 00:04:43.000,16.2.741.3171,BLUE,Diamond,38,20,2,9,0,2,3,0,0,3,1,0,1,0,11920,0
EUW1_7707883429,1667,2026-01-30 00:07:09.000,16.2.741.3171,RED,Diamond,22,23,7,3,0,0,0,3,2,1,1,0,0,1,7382,167
EUW1_7707883751,1547,2026-01-30 00:01:39.000,16.2.741.3171,RED,Master,15,21,5,3,0,0,1,3,3,0,1,0,0,1,5330,47
EUW1_7707884730,2754,2026-01-30 00:01:41.000,16.2.741.3171,BLUE,Master,38,29,7,9,0,3,6,1,3,0,0,1,1,2,-402,54
